	"deployment"	"retrieval"	"month_dep"	"month_ret"	"months"	"arms_code"	"site_code"	"id_site"	"protection"	"protection_level"	"depth"	"lat"	"lon"	"paper"	"ECOREGION"	"PROVINCE"	"REALM"	"Lat_Zone"	"chl_mean"	"k490_mean"	"npp_mean"	"npp_nsi"	"npp_total"	"par_mean"	"sss_mean"	"sss_range"	"sst_mean"	"sst_range"
"CHE_A2"	2013	2014	"Aug"	"Sep"	13	"CHE.A2"	"CHE"	"site_19_2013_2014"	"protected"	"nd"	7	42.93	27.91	"Pearman et al. 2020"	"Black Sea"	"Black Sea"	"Temperate Northern Atlantic"	"Temperate"	4.02912187576294	0.35566708445549	2802.76977539062	0.587861359119415	103825.2734375	32.3357582092285	16.9042797088623	3.14217162132263	16.2479381561279	22.0561542510986
"CHE_A3"	2013	2014	"Aug"	"Sep"	13	"CHE.A3"	"CHE"	"site_19_2013_2014"	"protected"	"nd"	7	42.93	27.91	"Pearman et al. 2020"	"Black Sea"	"Black Sea"	"Temperate Northern Atlantic"	"Temperate"	4.02912187576294	0.35566708445549	2802.76977539062	0.587861359119415	103825.2734375	32.3357582092285	16.9042797088623	3.14217162132263	16.2479381561279	22.0561542510986
"COI_3A"	2015	2017	"Nov"	"Nov"	24	"COI_3"	"Anse du Lion 2017"	"site_28_2015_2017"	"unprotected"	"absent"	20	-66.6609	140.0037	"This paper; original unpublished data"	"East Antarctic Wilkes Land"	"Continental High Antarctic"	"Southern Ocean"	"Polar"	0.180964648723602	0.0650300607085228	170.711441040039	0.969333946704865	482.038177490234	42.669864654541	33.5764083862305	2.74264311790466	-0.247136801481247	1.02157390117645
"COI_3B"	2015	2017	"Nov"	"Nov"	24	"COI_3"	"Anse du Lion 2017"	"site_28_2015_2017"	"unprotected"	"absent"	20	-66.6609	140.0037	"This paper; original unpublished data"	"East Antarctic Wilkes Land"	"Continental High Antarctic"	"Southern Ocean"	"Polar"	0.180964648723602	0.0650300607085228	170.711441040039	0.969333946704865	482.038177490234	42.669864654541	33.5764083862305	2.74264311790466	-0.247136801481247	1.02157390117645
"COI_3T"	2015	2017	"Nov"	"Nov"	24	"COI_3"	"Anse du Lion 2017"	"site_28_2015_2017"	"unprotected"	"absent"	20	-66.6609	140.0037	"This paper; original unpublished data"	"East Antarctic Wilkes Land"	"Continental High Antarctic"	"Southern Ocean"	"Polar"	0.180964648723602	0.0650300607085228	170.711441040039	0.969333946704865	482.038177490234	42.669864654541	33.5764083862305	2.74264311790466	-0.247136801481247	1.02157390117645
"COI_4A"	2015	2017	"Nov"	"Nov"	24	"COI_4"	"Anse du Lion 2017"	"site_28_2015_2017"	"unprotected"	"absent"	20	-66.6609	140.0037	"This paper; original unpublished data"	"East Antarctic Wilkes Land"	"Continental High Antarctic"	"Southern Ocean"	"Polar"	0.180964648723602	0.0650300607085228	170.711441040039	0.969333946704865	482.038177490234	42.669864654541	33.5764083862305	2.74264311790466	-0.247136801481247	1.02157390117645
"COI_4B"	2015	2017	"Nov"	"Nov"	24	"COI_4"	"Anse du Lion 2017"	"site_28_2015_2017"	"unprotected"	"absent"	20	-66.6609	140.0037	"This paper; original unpublished data"	"East Antarctic Wilkes Land"	"Continental High Antarctic"	"Southern Ocean"	"Polar"	0.180964648723602	0.0650300607085228	170.711441040039	0.969333946704865	482.038177490234	42.669864654541	33.5764083862305	2.74264311790466	-0.247136801481247	1.02157390117645
"COI_4T"	2015	2017	"Nov"	"Nov"	24	"COI_4"	"Anse du Lion 2017"	"site_28_2015_2017"	"unprotected"	"absent"	20	-66.6609	140.0037	"This paper; original unpublished data"	"East Antarctic Wilkes Land"	"Continental High Antarctic"	"Southern Ocean"	"Polar"	0.180964648723602	0.0650300607085228	170.711441040039	0.969333946704865	482.038177490234	42.669864654541	33.5764083862305	2.74264311790466	-0.247136801481247	1.02157390117645
"COI_5A"	2014	2017	"Nov"	"Nov"	36	"COI_5"	"Baie du Large 2017"	"site_28_2014_2017"	"unprotected"	"absent"	20	-66.6574	140.0058	"This paper; original unpublished data"	"East Antarctic Wilkes Land"	"Continental High Antarctic"	"Southern Ocean"	"Polar"	0.180964648723602	0.0650300607085228	170.711441040039	0.969333946704865	482.038177490234	42.669864654541	33.5764083862305	2.74264311790466	-0.247136801481247	1.02157390117645
"COI_5B"	2014	2017	"Nov"	"Nov"	36	"COI_5"	"Baie du Large 2017"	"site_28_2014_2017"	"unprotected"	"absent"	20	-66.6574	140.0058	"This paper; original unpublished data"	"East Antarctic Wilkes Land"	"Continental High Antarctic"	"Southern Ocean"	"Polar"	0.180964648723602	0.0650300607085228	170.711441040039	0.969333946704865	482.038177490234	42.669864654541	33.5764083862305	2.74264311790466	-0.247136801481247	1.02157390117645
